,species_id,,code
,971,,nymhol
,972,,psieup
,973,,psikra
,974,,psiekr
,975,,psisp.
,976,,agaros
,977,,agasp.
,978,,myimon
,980,,amasp.
,981,,cyapat
,982,,aranen
,983,,theacu
,984,,psiery
,985,,psimer
,986,,eupsp.
,989,,convir
,990,,empaln
,991,,empatr
,992,,tyrver
,993,,tyrsav
,994,,virgri
,996,,virfla
,997,,virphi
,998,,viroli
,999,,viroch
,1000,,oriori
,1001,,orioku
,1002,,lancol
,1003,,lanpho
,1004,,lanisa
,1006,,lanpis
,1007,,lancri
,1009,,lansch
,1011,,lanbor
,1014,,lanmer
,1015,,lanexc
,1019,,lanbex
,1020,,lanmex
,1021,,lanmin
,1022,,lannub
,1023,,lansen
,1028,,lansp.
,1029,,perinf
,1030,,gargla
,1036,,cyacoo
,1037,,picpic
,1040,,picspi
,1041,,nuccar
,1043,,pyrpyo
,1045,,pyrgra
,1046,,pyrpgr
,1047,,cormon
,1048,,cordau
,1049,,corspl
,1050,,corfru
,1051,,corcon
,1052,,corcoi
,1055,,corcco
,1057,,corruf
,1058,,corrhi
,1059,,corcox
,1061,,corsp.
,1062,,perate
,1066,,lopcri
,1067,,poelug
,1068,,poepal
,1069,,poemon
,1071,,poepmo
,1072,,poecin
,1074,,poesp.
,1075,,cyacae
,1076,,cyaten
,1077,,cyacya
,1080,,parmaj
,1082,,parsp.
,1083,,parsp.
,1084,,rempen
,1085,,alaala
,1086,,ramclo
,1087,,ammcin
,1088,,erealp
,1093,,erebil
,1094,,ereabi
,1095,,calbra
,1096,,calbdu
,1097,,calbah
,1098,,melbim
,1099,,melcal
,1100,,melyel
,1101,,chedup
,1102,,alache
,1103,,alaruf
,1104,,calbaa
,1105,,calbal
,1106,,alacru
,1107,,lularb
,1108,,alaleu
,1109,,alaarv
,1112,,alagul
,1113,,alaagu
,1114,,galthe
,1115,,galcri
,1116,,galtcr
,1117,,galcma
,1118,,galtcm
,1119,,alasp.
,1120,,panbia
,1121,,prigra
,1122,,cisjun
,1124,,aruaed
,1125,,iducal
,1126,,iduram
